chrom	start	stop	name2	score	strand
chrY	206150	207788	Gm29277	.	1
chrY	321658	323295	Gm29089	.	-1
chrY	725127	797405	Zfy1	.	-1
chrY	725208	797409	Zfy1	.	-1
chrY	818648	843684	Uba1y	.	1
chrY	818712	844224	Uba1y	.	1
chrY	841782	847750	Gm28588	.	-1
chrY	869708	873309	Gm28587	.	-1
chrY	897787	917605	Kdm5d	.	1
chrY	897789	946316	Kdm5d	.	1
chrY	991629	991748	n-R5s1	.	-1
chrY	991656	991716	AC145392.1	.	-1
chrY	1010542	1028594	Eif2s3y	.	1
chrY	1048392	1049134	Gm29650	.	1
chrY	1096860	1245691	Uty	.	-1
chrY	1097143	1245718	Uty	.	-1
chrY	1097670	1245724	Uty	.	-1
chrY	1098019	1245759	Uty	.	-1
chrY	1260770	1286629	Ddx3y	.	-1
chrY	1298960	1459782	Usp9y	.	-1
chrY	1308272	1308377	Gm25565	.	-1
chrY	2106014	2150346	Zfy2	.	-1
chrY	2106174	2170409	Zfy2	.	-1
chrY	2446009	2446108	Gm22119	.	-1
chrY	2599098	2599434	Gm6026	.	1
chrY	2662470	2663658	Sry	.	-1
chrY	2720338	2720674	Gm16501	.	-1
chrY	2785164	2796205	Gm4064	.	-1
chrY	2830679	2841851	Rbmy	.	1
chrY	2830698	2841854	Rbmy	.	1
chrY	2830698	2873293	Gm10256	.	1
chrY	2862138	2873489	Gm10256	.	1
chrY	2862157	2873492	Gm10256	.	1
chrY	2900988	2912206	Gm10352	.	1
chrY	2904132	2912188	Gm10352	.	1
chrY	2932581	2939416	Gm29289	.	1
chrY	3294975	3306449	Gm21677	.	-1
chrY	3295332	3303466	Gm21677	.	-1
chrY	3326749	3345329	Gm21693	.	-1
chrY	3327106	3335010	Gm21693	.	-1
chrY	3367146	3378783	Gm21704	.	-1
chrY	3367149	3410167	Gm21704	.	-1
chrY	3399187	3410148	Gm21708	.	-1
chrY	3399190	3410167	Gm21708	.	-1
chrY	3399544	3407067	Gm21708	.	-1
chrY	3771672	3783267	Gm3376	.	1
chrY	3774804	3782910	Gm3376	.	1
chrY	4586870	4590103	Gm28242	.	1
chrY	4666847	4669808	Gm37222	.	1
chrY	4885199	4887558	Gm28357	.	-1
chrY	4903522	4904050	Gm29351	.	-1
chrY	4951399	4951897	Gm29349	.	-1
chrY	5043936	5046265	Gm20918	.	1
chrY	5045444	5046128	Gm20918	.	1
chrY	5235230	5237553	Gm29353	.	-1
chrY	5248358	5249441	Gm21820	.	-1
chrY	5542751	5542861	Gm27663	.	1
chrY	5617082	5620317	Gm29158	.	-1
chrY	5656985	5659574	Gm21854	.	1
chrY	5658984	5659455	Gm21854	.	1
chrY	5725977	5728317	Gm20914	.	1
chrY	5727495	5728179	Gm20914	.	1
chrY	5793394	5795728	Gm28171	.	1
chrY	5899577	5902813	Gm28173	.	-1
chrY	5912030	5915279	Gm37236	.	-1
chrY	5934889	5938242	Gm29194	.	1
chrY	5942459	5945031	Gm21778	.	1
chrY	5944437	5944908	Gm21778	.	1
chrY	6198426	6201677	Gm29198	.	-1
chrY	6220974	6246362	Gm29193	.	1
chrY	6224821	6227191	Gm28430	.	-1
chrY	6237452	6237995	Gm21746	.	-1
chrY	6259340	6262689	Gm28593	.	1
chrY	6267097	6269548	Gm20873	.	1
chrY	6268724	6269423	Gm20873	.	1
chrY	6583545	6615511	Gm28919	.	1
chrY	6680420	6682872	Gm21719	.	-1
chrY	6680550	6681243	Gm21719	.	-1
chrY	6724210	6727474	Gm28444	.	-1
chrY	6916299	6918282	Gm20830	.	-1
chrY	6916433	6917117	Gm20830	.	-1
chrY	6952406	6952905	Gm28442	.	1
chrY	6974975	6978213	Gm28445	.	1
chrY	7085142	7088378	Gm28999	.	1
chrY	7165067	7169293	Gm21244	.	-1
chrY	7167093	7167777	Gm21244	.	-1
chrY	7253786	7280017	Gm28998	.	1
chrY	7299028	7299475	Gm28398	.	1
chrY	7378875	7382220	Gm28395	.	-1
chrY	7405009	7405552	Gm21788	.	1
chrY	7415350	7418585	Gm28394	.	1
chrY	7552847	7556083	Gm28393	.	1
chrY	7632773	7638489	Gm20826	.	-1
chrY	7636215	7636973	Gm20826	.	-1
chrY	7722940	7749195	Gm28576	.	1
chrY	7768202	7768649	Gm28575	.	1
chrY	7848017	7851362	Gm28571	.	-1
chrY	7884459	7887694	Gm28570	.	1
chrY	7994832	7997168	Gm29049	.	-1
chrY	8069167	8071507	Gm20825	.	-1
chrY	8069309	8069993	Gm20825	.	-1
chrY	8144037	8147387	Gm29046	.	-1
chrY	8196251	8198619	Gm29043	.	1
chrY	8247645	8257801	Gm29044	.	-1
chrY	8251025	8254057	Gm37951	.	-1
chrY	8255602	8257796	Gm29044	.	-1
chrY	8257906	8284105	Gm20824	.	1
