chrom	start	stop	name2	score	strand
chrX	3076874	3078817	Gm21950	.	1
chrX	3193886	3195827	Gm21364	.	-1
chrX	3441730	3443690	Gm14346	.	-1
chrX	3700232	3702192	Gm14345	.	1
chrX	3750933	3752885	Gm14351	.	-1
chrX	3955053	3957002	Gm3701	.	-1
chrX	4037673	4039616	Gm3706	.	1
chrX	4196575	4198535	Gm14347	.	1
chrX	4289285	4291245	Gm10921	.	-1
chrX	4370635	4372595	Gm10922	.	1
chrX	4800495	4801986	Gm3750	.	1
chrX	4952134	4954077	Gm3763	.	1
chrX	5466897	5469265	Mycs	.	-1
chrX	5669066	5671026	Gm14374	.	1
chrX	6027055	6092269	Gm26618	.	-1
chrX	6047452	6055110	Nudt11	.	1
chrX	6071477	6071557	Gm27360	.	1
chrX	6081218	6083419	AU022751	.	-1
chrX	6081218	6083419	AU022751	.	-1
chrX	6106890	6107009	n-R5s2	.	1
chrX	6168695	6173015	Nudt10	.	-1
chrX	6314106	6320721	Bmp15	.	-1
chrX	6399853	6633837	Shroom4	.	1
chrX	6577285	6637448	Shroom4	.	1
chrX	6779305	6948362	Dgkk	.	1
chrX	6979651	7030936	Ccnb3	.	-1
chrX	6979651	7041619	Ccnb3	.	-1
chrX	7067518	7078609	Akap4	.	1
chrX	7067519	7078604	Akap4	.	1
chrX	7068212	7078591	Akap4	.	1
chrX	7153809	7188714	Clcn5	.	-1
chrX	7229774	7229850	Gm26401	.	1
chrX	7237682	7237774	Mir500	.	-1
chrX	7241242	7241351	Mir501	.	-1
chrX	7241981	7242046	Mir362	.	-1
chrX	7247988	7248056	Mir188	.	-1
chrX	7248401	7248497	Mir532	.	-1
chrX	7371275	7375826	Usp27x	.	-1
chrX	7372590	7375830	Usp27x	.	-1
chrX	7375924	7378042	Gm14379	.	1
chrX	7412105	7445143	2010204K13Rik	.	-1
chrX	7547347	7547480	Gm23082	.	-1
chrX	7557295	7574283	Ppp1r3f	.	-1
chrX	7558601	7605381	Gm36995	.	-1
chrX	7558951	7574248	Ppp1r3f	.	-1
chrX	7573599	7581015	Ppp1r3fos	.	1
chrX	7579675	7595243	Foxp3	.	1
chrX	7579692	7595234	Foxp3	.	1
chrX	7580482	7595234	Foxp3	.	1
chrX	7586272	7595243	Foxp3	.	1
chrX	7593808	7605517	Ccdc22	.	-1
chrX	7607098	7635196	Cacna1f	.	1
chrX	7607128	7635196	Cacna1f	.	1
chrX	7638470	7653256	Syp	.	1
chrX	7651105	7657258	Gm14703	.	-1
chrX	7657259	7667958	Prickle3	.	1
chrX	7658532	7668186	Prickle3	.	1
chrX	7667940	7671390	Plp2	.	-1
