chrom	start	stop	name2	score	strand
chr7	3128145	3144992	Speer9-ps1	.	1
chr7	3154657	3169203	AU018091	.	-1
chr7	3218625	3218708	Mir290a	.	1
chr7	3218637	3218695	Mir290b	.	-1
chr7	3218783	3249613	Nlrp12	.	-1
chr7	3218918	3219000	Mir291a	.	1
chr7	3219188	3219270	Mir292	.	1
chr7	3219197	3219259	Mir292b	.	-1
chr7	3219481	3219560	Mir291b	.	1
chr7	3220342	3220422	Mir293	.	1
chr7	3220640	3220724	Mir294	.	1
chr7	3220772	3220841	Mir295	.	1
chr7	3289079	3298285	Myadm	.	1
chr7	3290533	3299349	Myadm	.	1
chr7	3290574	3300442	Myadm	.	1
chr7	3293093	3299322	Myadm	.	1
chr7	3303521	3331099	Prkcg	.	1
chr7	3303644	3330367	Prkcg	.	1
chr7	3332954	3368221	Cacng7	.	1
chr7	3337544	3337879	Gm44256	.	1
chr7	3378120	3390080	Gm44257	.	-1
chr7	3390682	3415648	Cacng8	.	1
chr7	3391595	3400926	Gm44151	.	-1
chr7	3394116	3415605	Cacng8	.	1
chr7	3415065	3415156	Gm23450	.	1
chr7	3421664	3423445	3300002P13Rik	.	-1
chr7	3424194	3435667	Cacng6	.	1
chr7	3424661	3435163	Cacng6	.	1
chr7	3451356	3475020	Gm44160	.	1
chr7	3486499	3502558	Tarm1	.	-1
chr7	3488569	3502624	Tarm1	.	-1
chr7	3489070	3502518	Tarm1	.	-1
chr7	3489610	3491079	Gm44165	.	-1
chr7	3589163	3589264	Gm25100	.	1
chr7	3591645	3604150	Gm44920	.	-1
chr7	3609812	3616133	Oscar	.	-1
chr7	3609812	3616157	Oscar	.	-1
chr7	3609812	3616157	Oscar	.	-1
chr7	3617372	3620327	Ndufa3	.	1
chr7	3617385	3620128	Ndufa3	.	1
chr7	3620323	3629884	Tfpt	.	-1
chr7	3620323	3629929	Tfpt	.	-1
chr7	3629984	3642485	Prpf31	.	1
chr7	3629984	3642486	Prpf31	.	1
chr7	3630556	3641229	Prpf31	.	1
chr7	3632113	3644636	Gm15927	.	-1
chr7	3642305	3643250	Gm15927	.	-1
chr7	3645351	3661109	Cnot3	.	1
chr7	3655961	3656047	Mir3572	.	1
chr7	3660097	3665840	Leng1	.	-1
chr7	3665789	3677553	Tmc4	.	-1
chr7	3665790	3676793	Tmc4	.	-1
chr7	3666251	3670278	Gm15929	.	1
chr7	3677788	3693523	Mboat7	.	-1
chr7	3693374	3701024	Tsen34	.	1
chr7	3693762	3700887	Tsen34	.	1
chr7	3693764	3701012	Tsen34	.	1
chr7	3693808	3701004	Tsen34	.	1
chr7	3694522	3701004	Tsen34	.	1
chr7	3703992	3706897	Rps9	.	1
chr7	3704037	3706895	Rps9	.	1
chr7	3704051	3706857	Rps9	.	1
chr7	3704319	3706876	Rps9	.	1
chr7	3704324	3706381	Rps9	.	1
chr7	3711408	3720382	Pirb	.	-1
chr7	3731629	3739889	Gm15922	.	-1
chr7	3816780	3825650	Gm15448	.	-1
chr7	3816780	3825687	Gm15448	.	-1
chr7	3816796	3825669	Gm15448	.	-1
chr7	3821241	3825641	Gm15448	.	-1
chr7	3821524	3825641	Gm15448	.	-1
chr7	3836811	3845051	Pira2	.	-1
chr7	3838201	3845051	Pira2	.	-1
chr7	3884241	3898120	Gm14548	.	-1
chr7	3908279	3915501	Lilra6	.	-1
chr7	3908584	3915485	Lilra6	.	-1
chr7	3908614	3915503	Lilra6	.	-1
chr7	3928852	3932849	Gm44581	.	-1
chr7	3981149	3982877	1700095K22Rik	.	1
chr7	4003401	4063179	Lair1	.	-1
chr7	4007072	4063204	Lair1	.	-1
chr7	4008058	4063174	Lair1	.	-1
chr7	4009662	4063141	Lair1	.	-1
chr7	4009662	4063141	Lair1	.	-1
chr7	4101889	4102060	Gm23741	.	1
chr7	4119529	4135347	Ttyh1	.	1
chr7	4119532	4136708	Ttyh1	.	1
chr7	4119584	4135333	Ttyh1	.	1
chr7	4124488	4134239	Ttyh1	.	1
chr7	4126339	4136926	D030047H15Rik	.	-1
chr7	4137048	4148177	Leng8	.	1
chr7	4137059	4140452	Leng8	.	1
chr7	4137065	4148172	Leng8	.	1
chr7	4147914	4150374	Leng9	.	-1
chr7	4151259	4164860	1700027J19Rik	.	-1
chr7	4237753	4243463	Lilra5	.	1
chr7	4337723	4345164	Ncr1	.	1
chr7	4337768	4345164	Ncr1	.	1
chr7	4363964	4397744	Gp6	.	-1
chr7	4368832	4397728	Gp6	.	-1
chr7	4388451	4388561	Gm25349	.	-1
chr7	4393010	4393120	Gm24752	.	-1
chr7	4425666	4445649	Rdh13	.	-1
chr7	4441919	4442015	Gm24605	.	-1
chr7	4446445	4471285	Gm15494	.	-1
chr7	4460714	4479404	Eps8l1	.	1
chr7	4464741	4479242	Eps8l1	.	1
chr7	4464848	4480487	Eps8l1	.	1
chr7	4481519	4501680	Ppp1r12c	.	-1
chr7	4504569	4515975	Tnnt1	.	-1
chr7	4504569	4516004	Tnnt1	.	-1
chr7	4504662	4515959	Tnnt1	.	-1
chr7	4504662	4515975	Tnnt1	.	-1
chr7	4504754	4514368	Tnnt1	.	-1
chr7	4518304	4522528	Tnni3	.	-1
chr7	4522932	4532453	Dnaaf3	.	-1
chr7	4526535	4528184	Gm15873	.	1
chr7	4539764	4546567	Syt5	.	-1
chr7	4548611	4603141	Ptprh	.	-1
chr7	4548991	4604041	Ptprh	.	-1
chr7	4580068	4580178	Gm23577	.	-1
chr7	4626977	4630544	Gm44877	.	1
chr7	4628039	4630482	Tmem86b	.	-1
chr7	4628041	4630187	Tmem86b	.	-1
chr7	4628603	4630336	Tmem86b	.	-1
chr7	4631494	4659019	Ppp6r1	.	-1
chr7	4658659	4659954	Gm44878	.	1
chr7	4660520	4685068	Hspbp1	.	-1
chr7	4690603	4715981	Brsk1	.	1
chr7	4690927	4715997	Brsk1	.	1
chr7	4691079	4705426	Brsk1	.	1
chr7	4692242	4705426	Brsk1	.	1
chr7	4706831	4725249	Tmem150b	.	-1
chr7	4715685	4725082	Tmem150b	.	-1
chr7	4738831	4738933	Gm24537	.	1
chr7	4740114	4747514	Suv420h2	.	1
chr7	4740166	4747514	Suv420h2	.	1
chr7	4740184	4747514	Suv420h2	.	1
chr7	4751791	4752972	Cox6b2	.	-1
chr7	4751791	4753023	Cox6b2	.	-1
chr7	4751791	4753023	Cox6b2	.	-1
chr7	4751791	4753094	Cox6b2	.	-1
chr7	4751793	4753009	Cox6b2	.	-1
chr7	4751854	4753038	Cox6b2	.	-1
chr7	4751946	4753002	Cox6b2	.	-1
chr7	4753228	4771302	Fam71e2	.	-1
chr7	4772372	4778141	Il11	.	-1
chr7	4773232	4782857	Il11	.	-1
chr7	4782936	4784341	Tmem190	.	1
chr7	4784556	4789656	Tmem238	.	-1
chr7	4792873	4795066	Rpl28	.	1
chr7	4792989	4794526	Rpl28	.	1
chr7	4808013	4812590	Ube2s	.	-1
chr7	4825552	4844696	Shisa7	.	-1
chr7	4828026	4844696	Shisa7	.	-1
chr7	4844958	4866193	Isoc2b	.	-1
chr7	4845161	4870258	Isoc2b	.	-1
chr7	4877152	4896973	Isoc2a	.	1
chr7	4898449	4906516	RP23-414I24.11	.	-1
chr7	4908885	4912357	Gm44983	.	-1
chr7	4915216	4922002	Zfp628	.	1
chr7	4922250	4925006	Nat14	.	1
chr7	4922867	4925000	Nat14	.	1
chr7	4925784	4944826	Ssc5d	.	1
chr7	4940511	4964406	Sbk2	.	-1
chr7	4956133	4964345	Sbk2	.	-1
chr7	4957080	4964348	Sbk2	.	-1
chr7	4965259	4970961	Sbk3	.	-1
chr7	4967339	4971168	Sbk3	.	-1
chr7	4992851	4995340	Zfp579	.	-1
chr7	4992853	4996101	Zfp579	.	-1
chr7	5007058	5014253	Fiz1	.	-1
chr7	5007058	5014678	Fiz1	.	-1
chr7	5007058	5014697	Fiz1	.	-1
chr7	5007274	5013238	Fiz1	.	-1
chr7	5007558	5014269	Fiz1	.	-1
chr7	5014414	5018488	Zfp524	.	1
chr7	5015469	5018487	Zfp524	.	1
chr7	5015495	5033097	Gm44973	.	1
chr7	5015806	5018482	Zfp524	.	1
